I_R01_Gripper_Load,I_R02_Gripper_Load,I_R03_Gripper_Load,I_R04_Gripper_Load,I_R03_Gripper_Pot,I_R04_Gripper_Pot,t,label,cycle_id
373.0,1297.0,1373.0,-276.0,2392.0,13132.0,16.0,Normal,5_184
336.0,1279.0,1373.0,-1043.0,2405.0,13077.0,16.49,Normal,5_184
331.0,1331.0,1368.0,-544.0,2405.0,13258.0,17.01,Normal,5_184
331.0,1297.0,1394.0,-394.0,2417.0,13132.0,17.523,Normal,5_184
360.0,1298.0,1375.0,496.0,2405.0,13213.0,17.994,Normal,5_184
366.0,1298.0,1365.0,-898.0,2416.0,13182.0,18.493,Normal,5_184
363.0,1303.0,1361.0,-538.0,2417.0,13207.0,18.987,Normal,5_184
363.0,1298.0,1361.0,701.0,2408.0,13237.0,19.544,Normal,5_184
331.0,1268.0,1373.0,-148.0,2407.0,13185.0,20.251,Normal,5_184
364.0,1297.0,1361.0,501.0,2384.0,13174.0,20.48,Normal,5_184
377.0,1306.0,1372.0,-530.0,2422.0,13238.0,20.988,Normal,5_184
222.0,1327.0,1378.0,-383.0,2393.0,13302.0,21.482,Normal,5_184
335.0,1302.0,1376.0,-205.0,2398.0,13185.0,21.989,Normal,5_184
308.0,1271.0,1351.0,-488.0,2397.0,12947.0,22.487,Normal,5_184
382.0,1317.0,1372.0,-597.0,2408.0,13188.0,22.989,Normal,5_184
317.0,1289.0,1374.0,-260.0,2414.0,13196.0,23.495,Normal,5_184
375.0,1305.0,1365.0,-621.0,2394.0,13233.0,23.987,Normal,5_184
331.0,1301.0,1373.0,-1219.0,2406.0,13231.0,24.495,Normal,5_184
366.0,1293.0,1355.0,545.0,2390.0,13119.0,24.985,Normal,5_184
387.0,1281.0,1350.0,-369.0,2386.0,12990.0,25.498,Normal,5_184
373.0,1304.0,1358.0,-1276.0,2389.0,13155.0,25.983,Normal,5_184
365.0,1302.0,1359.0,321.0,2390.0,13154.0,26.495,Normal,5_184
339.0,1280.0,1380.0,1179.0,2404.0,13172.0,26.984,Normal,5_184
391.0,1332.0,1383.0,-447.0,2416.0,13195.0,27.493,Normal,5_184
352.0,1295.0,1352.0,999.0,2389.0,13228.0,27.993,Normal,5_184
377.0,1315.0,1346.0,-604.0,2390.0,13305.0,28.496,Normal,5_184
351.0,1312.0,1388.0,1039.0,2412.0,13171.0,28.989,Normal,5_184
379.0,1289.0,1371.0,593.0,2410.0,13208.0,29.502,Normal,5_184
315.0,1268.0,1361.0,-259.0,2386.0,13298.0,29.986,Normal,5_184
295.0,1323.0,1360.0,806.0,2392.0,13268.0,30.499,Normal,5_184
370.0,1309.0,1347.0,530.0,2385.0,13270.0,30.986,Normal,5_184
367.0,1317.0,1391.0,-780.0,2408.0,12933.0,31.494,Normal,5_184
247.0,1323.0,1383.0,355.0,2395.0,13216.0,31.994,Normal,5_184
321.0,1271.0,1354.0,195.0,2381.0,13228.0,32.489,Normal,5_184
331.0,1318.0,1359.0,-831.0,2393.0,12952.0,32.994,Normal,5_184
333.0,1301.0,1366.0,-996.0,2386.0,13130.0,33.491,Normal,5_184
378.0,1324.0,1358.0,201.0,2392.0,13231.0,33.99,Normal,5_184
264.0,1291.0,1362.0,694.0,2399.0,13171.0,34.497,Normal,5_184
331.0,1293.0,1372.0,-1238.0,2400.0,13170.0,34.987,Normal,5_184
372.0,1313.0,1378.0,276.0,2397.0,13109.0,35.482,Normal,5_184
391.0,1289.0,1371.0,-353.0,2401.0,13241.0,35.991,Normal,5_184
361.0,1270.0,1331.0,-1014.0,2378.0,13102.0,36.495,Normal,5_184
348.0,1298.0,1370.0,233.0,2394.0,13161.0,36.996,Normal,5_184
400.0,1285.0,1361.0,775.0,2392.0,13141.0,37.496,Normal,5_184
323.0,1291.0,1372.0,-1104.0,2406.0,13277.0,37.992,Normal,5_184
400.0,1288.0,1360.0,903.0,2403.0,13281.0,38.498,Normal,5_184
329.0,1277.0,1393.0,884.0,2415.0,13220.0,38.986,Normal,5_184
371.0,1331.0,1340.0,-71.0,2404.0,13275.0,39.499,Normal,5_184
363.0,1297.0,1377.0,-771.0,2409.0,13281.0,39.993,Normal,5_184
411.0,1322.0,1378.0,1070.0,2415.0,13291.0,40.497,Normal,5_184
375.0,1314.0,1375.0,-898.0,2406.0,13265.0,41.002,Normal,5_184
371.0,1322.0,1371.0,1354.0,2393.0,13372.0,41.494,Normal,5_184
373.0,1316.0,1372.0,-725.0,2408.0,13240.0,42.002,Normal,5_184
292.0,1288.0,1345.0,-142.0,2386.0,13351.0,42.496,Normal,5_184
380.0,1300.0,1378.0,1206.0,2397.0,13123.0,42.989,Normal,5_184
275.0,1297.0,1359.0,-241.0,2387.0,13160.0,43.487,Normal,5_184
378.0,1294.0,1388.0,-1137.0,2408.0,13359.0,43.992,Normal,5_184
335.0,1303.0,1383.0,273.0,2406.0,13155.0,44.491,Normal,5_184
360.0,1317.0,1366.0,483.0,2399.0,13243.0,44.982,Normal,5_184
387.0,1316.0,1380.0,-851.0,2418.0,13258.0,45.485,Normal,5_184
369.0,1288.0,1399.0,-87.0,2411.0,13231.0,45.992,Normal,5_184
330.0,1292.0,1343.0,-156.0,2401.0,13239.0,46.479,Normal,5_184
377.0,1296.0,1383.0,-790.0,2406.0,13258.0,46.988,Normal,5_184
288.0,1276.0,1368.0,-349.0,2403.0,13268.0,47.496,Normal,5_184
385.0,1300.0,1371.0,-145.0,2390.0,13234.0,48.002,Normal,5_184
416.0,1332.0,1381.0,-509.0,2411.0,13317.0,48.487,Normal,5_184
379.0,1311.0,1357.0,1069.0,2385.0,13251.0,48.988,Normal,5_184
353.0,1315.0,1375.0,-344.0,2451.0,13300.0,49.54,Normal,5_184
386.0,1322.0,1363.0,-991.0,2397.0,13173.0,49.99,Normal,5_184
352.0,1296.0,1352.0,120.0,2394.0,13275.0,50.49,Normal,5_184
384.0,1288.0,1351.0,-727.0,12522.0,13096.0,50.986,Normal,5_184
360.0,1313.0,1351.0,-947.0,12549.0,13236.0,51.483,Normal,5_184
356.0,1319.0,1351.0,474.0,12473.0,13138.0,51.99,Normal,5_184
345.0,1318.0,1344.0,-344.0,12559.0,13055.0,52.492,Normal,5_184
342.0,1298.0,1362.0,756.0,6679.0,13203.0,53.006,Normal,5_184
365.0,1282.0,1352.0,280.0,6683.0,13163.0,53.494,Normal,5_184
360.0,1292.0,1369.0,1233.0,6684.0,13222.0,53.992,Normal,5_184
397.0,1303.0,1370.0,-888.0,6671.0,13201.0,54.499,Normal,5_184
377.0,1288.0,1356.0,-1106.0,6678.0,13231.0,54.995,Normal,5_184
357.0,1294.0,1371.0,672.0,6680.0,13207.0,55.486,Normal,5_184
338.0,1261.0,1361.0,-801.0,6684.0,13178.0,56.004,Normal,5_184
366.0,1325.0,1358.0,1270.0,6685.0,13281.0,56.496,Normal,5_184
319.0,1304.0,1371.0,-988.0,6662.0,13248.0,56.994,Normal,5_184
319.0,1300.0,1336.0,-499.0,6673.0,13254.0,57.488,Normal,5_184
345.0,1330.0,1375.0,-821.0,6688.0,13198.0,57.995,Normal,5_184
372.0,1275.0,1381.0,-1126.0,6660.0,13126.0,58.487,Normal,5_184
356.0,1298.0,1371.0,-789.0,6689.0,13252.0,58.998,Normal,5_184
361.0,1287.0,1368.0,364.0,6619.761904761905,13191.0,59.548,Normal,5_184
359.0,1323.0,1372.0,-684.0,12512.0,13213.0,59.995,Normal,5_184
267.0,1311.0,1379.0,-1034.0,12568.0,13279.0,60.483,Normal,5_184
381.0,1325.0,1385.0,100.0,12517.57142857143,13186.0,61.0,Normal,5_184
170.0,1297.0,1380.0,-1064.0,12486.0,13120.0,61.493,Normal,5_184
346.0,1306.0,1359.0,-500.0,12550.0,13281.0,62.001,Normal,5_184
353.0,1309.0,1344.0,580.0,12505.0,13155.0,62.488,Normal,5_184
344.0,1297.0,1371.0,-567.0,12566.0,13264.0,63.0,Normal,5_184
349.0,1318.0,1364.0,-137.0,2444.0,13326.0,63.484,Normal,5_184
344.0,1310.0,1389.0,924.0,2450.0,13272.0,63.995,Normal,5_184
410.0,1311.0,1376.0,-629.0,2456.0,13351.0,64.502,Normal,5_184
367.0,1294.0,1386.0,-226.0,2455.0,13196.0,64.992,Normal,5_184
381.0,1323.0,1372.0,-999.0,2445.0,13202.0,65.494,Normal,5_184
356.0,1297.0,9078.0,839.0,12423.0,13179.0,65.989,Normal,5_184
423.0,1309.0,7122.0,-300.0,12432.0,13151.0,66.492,Normal,5_184
402.0,1312.0,7122.0,553.0,12438.0,13137.0,66.998,Normal,5_184
380.0,1314.0,7036.0,1202.0,12370.0,13123.0,67.495,Normal,5_184
381.0,1321.0,7054.0,-505.0,12449.0,13228.0,67.993,Normal,5_184
353.0,1297.0,7026.0,-987.0,12396.0,13134.0,68.488,Normal,5_184
415.0,1305.0,7029.496774193548,-599.0,12427.267741935484,13101.0,68.985,Normal,5_184
342.0,1321.0,6970.783783783784,930.0,12395.391304347826,13208.0,69.511,Normal,5_184
407.0,1317.0,6993.0,414.0,12446.0,13149.0,69.99,Normal,5_184
347.0,1293.0,6999.0,-197.0,12467.461538461539,13083.0,70.494,Normal,5_184
332.0,1291.0,7022.323119777158,-1259.0,12403.978401727862,13101.0,70.999,Normal,5_184
387.0,1336.0,7014.0,652.0,12442.0,13198.0,71.481,Normal,5_184
261.0,1300.0,7015.0,-618.0,12470.0,13089.0,71.992,Normal,5_184
380.0,1294.0,6998.0,325.0,12425.0,13221.0,72.487,Normal,5_184
375.0,1317.0,6948.0,963.0,12416.0,13144.0,72.986,Normal,5_184
389.0,1313.0,1362.0,487.0,2388.0,13191.0,73.489,Normal,5_184
333.0,1290.0,1402.0,-982.0,2418.0,13215.0,73.994,Normal,5_184
288.0,1321.0,1379.0,583.0,2406.0,13232.0,74.494,Normal,5_184
384.0,1336.0,1408.0,-339.0,2415.0,13237.0,74.997,Normal,5_184
362.0,1320.0,1393.0,593.0,2421.0,13236.0,75.495,Normal,5_184
345.0,1296.0,1371.0,149.0,2389.0,13165.0,75.994,Normal,5_184
339.0,1312.0,1374.0,-592.0,2425.0,13200.0,76.492,Normal,5_184
204.0,1293.0,1373.0,-190.0,2426.0,13271.0,76.993,Normal,5_184
324.0,1304.0,1368.0,739.0,2426.0,13138.0,77.497,Normal,5_184
315.0,1289.0,1370.0,543.0,2435.0,13233.0,77.984,Normal,5_184
309.0,1262.0,1379.0,-886.0,2433.0,13230.0,78.495,Normal,5_184
378.0,1344.0,8483.0,160.0,12414.0,13196.0,78.989,Normal,5_184
357.0,1326.0,6091.0,-509.0,12392.0,13098.0,79.508,Normal,5_184
379.0,1297.0,6089.0,-1251.0,12450.0,13143.0,79.984,Normal,5_184
249.0,1311.0,6049.0,-610.0,12429.0,13118.0,80.499,Normal,5_184
345.0,1297.0,6023.0,-1136.0,12411.0,12877.0,80.987,Normal,5_184
369.0,1291.0,6011.0,813.0,12407.0,13160.0,81.481,Normal,5_184
354.0,1304.0,6021.0,1069.0,12472.0,13225.0,81.99,Normal,5_184
368.0,1298.0,6019.0,889.0,12453.0,13197.0,82.531,Normal,5_184
289.0,1279.0,5971.0,-1131.0,12425.0,13154.0,83.132,Normal,5_184
370.0,1298.0,5998.0,1220.0,12440.0,13129.0,83.486,Normal,5_184
402.0,1320.0,5953.0,-1048.0,12380.0,13139.0,83.991,Normal,5_184
354.0,1289.0,5948.0,655.0,12396.0,13131.0,84.491,Normal,5_184
395.0,1298.0,6009.0,197.0,12469.242424242424,13084.0,84.987,Normal,5_184
240.0,1314.0,5981.0,1354.0,12407.132596685084,13384.0,85.49,Normal,5_184
372.0,1288.0,6009.0,802.0,12430.055045871559,13154.0,85.999,Normal,5_184
376.0,1311.0,1394.0,1247.0,2407.0,13310.0,86.491,Normal,5_184
354.0,1287.0,1384.0,-636.0,2400.0,13251.0,86.984,Normal,5_184
413.0,1286.0,1382.0,-634.0,2423.0,13271.0,87.498,Normal,5_184
353.0,1288.0,1378.0,1108.0,2396.0,13216.0,87.999,Normal,5_184
310.0,1273.0,1373.0,795.0,2419.0,13206.0,88.493,Normal,5_184
410.0,1325.0,1377.0,-1063.0,2409.0,13219.0,88.988,Normal,5_184
383.0,1282.0,1384.0,695.0,2402.0,13173.0,89.575,Normal,5_184
360.0,1275.0,1384.0,-281.0,2403.0,13222.0,89.981,Normal,5_184
376.0,1285.0,1387.0,1044.0,2405.0,13201.0,90.488,Normal,5_184
357.0,1284.0,1374.0,-533.0,2398.0,13181.0,91.007,Normal,5_184
388.0,1307.0,1373.0,-626.0,2401.0,13210.0,91.491,Normal,5_184
365.0,1324.0,4529.0,525.0,12443.0,13117.0,92.006,Normal,5_184
371.0,1310.0,4888.0,901.0,12487.0,13172.0,92.502,Normal,5_184
388.0,1317.0,4827.0,1201.0,12453.0,13194.0,92.996,Normal,5_184
348.0,1286.0,4813.0,-789.0,12399.0,13145.0,93.501,Normal,5_184
394.0,1313.0,4829.0,487.0,12459.0,13197.0,94.003,Normal,5_184
377.0,1296.0,4803.0,767.0,12426.977491961416,13199.0,94.487,Normal,5_184
363.0,1301.0,4769.0,-679.0,12465.965265082266,13195.0,95.002,Normal,5_184
370.0,1287.0,4793.0,1256.0,12506.0,13234.0,95.487,Normal,5_184
361.0,1285.0,4785.0,107.0,12454.0,13097.0,95.987,Normal,5_184
374.0,1317.0,4786.0,68.0,12476.660194174758,13187.0,96.482,Normal,5_184
361.0,1296.0,4769.0,850.0,12464.0,13287.0,96.979,Normal,5_184
352.0,1286.0,1370.0,-479.0,2390.0,13152.0,97.492,Normal,5_184
348.0,1298.0,1393.0,-752.0,2406.0,13234.0,97.985,Normal,5_184
355.0,1298.0,1389.0,838.0,2401.0,13212.0,98.482,Normal,5_184
284.0,1281.0,1369.0,-680.0,2404.0,13207.0,98.99,Normal,5_184
395.0,1305.0,1374.0,-878.0,2397.0,13042.0,99.51,Normal,5_184
361.0,1299.0,1375.0,-544.0,2402.0,13136.0,99.989,Normal,5_184
359.0,1312.0,1373.0,589.0,2404.0,13211.0,100.48,Normal,5_184
334.0,1308.0,1380.0,305.0,2397.0,13148.0,100.986,Normal,5_184
325.0,1312.0,1377.0,1018.0,2402.0,13194.0,101.498,Normal,5_184
390.0,1306.0,1382.0,1223.0,2411.0,13248.0,101.997,Normal,5_184
307.0,1309.0,1370.0,-623.0,2399.0,13137.0,102.485,Normal,5_184
331.0,1267.0,7432.0,-1112.0,12419.0,13206.0,102.989,Normal,5_184
350.0,1289.0,8565.0,-405.0,12396.0,13136.0,103.48,Normal,5_184
221.0,1279.0,8526.0,-189.0,12443.0,13192.0,103.985,Normal,5_184
361.0,1298.0,8547.0,133.0,12410.0,13187.0,104.484,Normal,5_184
441.0,1292.0,8513.0,1021.0,12434.0,13162.0,104.993,Normal,5_184
328.0,1294.0,8460.0,596.0,12408.0,13065.0,105.484,Normal,5_184
330.0,1288.0,8489.0,905.0,12459.0,13203.0,105.995,Normal,5_184
342.0,1278.0,8427.0,99.0,12402.0,13131.0,106.48,Normal,5_184
335.0,1273.0,8411.0,682.0,12413.0,13154.0,107.001,Normal,5_184
363.0,1285.0,8400.0,172.0,12425.0,13166.0,107.503,Normal,5_184
224.0,1279.0,8463.0,723.0,12472.0,13209.0,107.995,Normal,5_184
369.0,1306.0,6156.974452554745,317.0,9228.419708029196,13212.0,108.503,Normal,5_184
346.0,1292.0,1387.0,682.0,2404.0,13220.0,108.983,Normal,5_184
322.0,1311.0,1378.0,-835.0,2394.0,13184.0,109.512,Normal,5_184
293.0,1283.0,1354.0,591.0,2400.0,13206.0,110.007,Normal,5_184
400.0,1309.0,1382.0,961.0,2394.0,13160.0,110.49,Normal,5_184
353.0,1297.0,1392.0,-658.0,2411.0,13179.0,110.993,Normal,5_184
389.0,1296.0,1376.0,1155.0,2403.0,13294.0,111.488,Normal,5_184
363.0,1277.0,1379.0,129.0,2403.0,13279.0,111.994,Normal,5_184
383.0,1309.0,1356.0,-574.0,2392.0,13240.0,112.483,Normal,5_184
407.0,1300.0,1386.0,-204.0,2448.0,13209.0,112.988,Normal,5_184
396.78061224489795,1269.0,1348.0,-754.0,2400.0,13269.0,113.484,Normal,5_184
312.0,1277.0,1356.0,-242.0,2411.0,13300.0,113.991,Normal,5_184
367.0,1289.0,1350.0,-403.0,2403.0,13261.0,114.497,Normal,5_184
231.0,1285.0,1343.0,-1121.0,2388.0,13360.0,114.996,Normal,5_184
297.0,1273.0,1349.0,-663.0,2403.0,13260.0,115.494,Normal,5_184
307.0,1283.0,1369.0,-1254.0,2390.0,13152.0,115.988,Normal,5_184
194.39252336448598,1292.0,1359.0,-276.0,2408.0,13337.0,116.488,Normal,5_184
353.0,1264.0,1366.0,1235.0,2408.0,13277.0,116.985,Normal,5_184
362.0,1294.0,1342.0,726.0,2388.0,13165.0,117.497,Normal,5_184
229.0,1259.0,1342.0,313.0,2401.0,13290.0,117.99,Normal,5_184
196.0,1267.0,1379.0,-306.0,2411.0,13264.0,118.485,Normal,5_184
323.0,1287.0,1379.0,-1004.0,2403.0,13153.0,118.996,Normal,5_184
377.0,1288.0,1345.0,-1114.0,2379.0,13295.0,119.516,Normal,5_184
332.0,1303.0,1349.0,-374.0,2400.0,13200.0,119.983,Normal,5_184
335.0,1286.0,1368.0,-271.0,2399.0,13418.0,120.491,Normal,5_184
411.0,1274.0,1345.0,-759.0,2403.0,13285.0,120.978,Normal,5_184
332.0,1274.0,1353.0,-290.0,2398.0,13318.0,121.499,Normal,5_184
137.0,1265.0,1375.0,649.0,2408.0,13160.0,122.003,Normal,5_184
332.0,1282.0,1363.0,291.0,2402.0,13291.0,122.498,Normal,5_184
264.0,1280.0,1364.0,-667.0,2406.0,13241.0,122.991,Normal,5_184
271.0,1291.0,1369.0,-381.0,2407.0,13295.0,123.494,Normal,5_184
309.0,1313.0,1371.0,-323.0,2405.0,13315.0,123.988,Normal,5_184
331.0,1304.0,1365.0,-1041.0,2398.0,13207.0,124.494,Normal,5_184
184.0,1296.0,1360.0,375.0,2400.0,13179.0,125.007,Normal,5_184
332.0,1302.0,1370.0,1121.0,2400.0,13349.0,125.493,Normal,5_184
385.0,1313.0,1362.0,-649.0,2395.0,13205.0,125.991,Normal,5_184
374.0,1247.0,1367.0,-634.0,2393.0,13188.0,126.488,Normal,5_184
278.0,1285.0,1377.0,1317.0,2414.0,13364.0,126.987,Normal,5_184
344.0,1273.0,1344.0,818.0,2402.0,13096.0,127.499,Normal,5_184
364.0,1308.0,1383.0,113.0,2409.0,13338.0,128.007,Normal,5_184
274.0,1290.0,1350.0,-891.0,2388.0,13158.0,128.492,Normal,5_184
279.0,1288.0,1375.0,-652.0,2407.0,13254.0,128.988,Normal,5_184
368.0,1280.0,1355.0,-39.0,2410.0,13348.0,129.559,Normal,5_184
280.0,1272.0,1343.0,104.0,2407.0,13178.0,129.986,Normal,5_184
178.0,1263.0,1373.0,-1132.0,2404.0,13068.0,130.481,Normal,5_184
359.0,1287.0,1362.0,-224.0,2384.0,13222.0,130.99,Normal,5_184
321.0,1306.0,1382.0,-190.0,2411.0,13223.0,131.493,Normal,5_184
425.0,1306.0,1362.0,885.0,2399.0,13258.0,131.984,Normal,5_184
321.0,1274.0,1344.0,591.0,2385.0,13393.0,132.484,Normal,5_184
351.0,1289.0,1350.0,-1165.0,2383.0,13200.0,132.997,Normal,5_184
379.0,1282.0,1346.0,96.0,2401.0,13089.0,133.49,Normal,5_184
447.0,1308.0,1360.0,-242.0,2408.0,13255.0,133.985,Normal,5_184
347.0,1271.0,1364.0,1256.0,2394.0,13216.0,134.493,Normal,5_184
327.0,1291.0,1331.0,908.0,2404.0,13341.0,134.982,Normal,5_184
287.0,1284.0,1349.0,-316.0,2388.0,13294.0,135.483,Normal,5_184
346.0,1276.0,1382.0,905.0,2411.0,13349.0,135.996,Normal,5_184
312.0,1302.0,1374.0,1242.0,2405.0,13290.0,136.493,Normal,5_184
311.0,1309.0,1373.0,-704.0,2403.0,13411.0,136.991,Normal,5_184
435.25773195876286,1277.0,1381.0,873.0,2399.0,13218.0,137.5,Normal,5_184
283.0,1319.0,1351.0,-503.0,2400.0,13317.0,137.989,Normal,5_184
263.0,1293.0,1370.0,513.0,2394.0,13336.0,138.487,Normal,5_184
315.0,1278.0,1350.0,-878.0,2390.0,13273.0,138.986,Normal,5_184
293.0,1293.0,1313.0,-137.0,2388.0,13259.0,139.523,Normal,5_184
336.0,1282.0,1387.0,397.0,2411.0,13193.0,139.999,Normal,5_184
258.0,1274.0,1373.0,1064.0,2400.0,13320.0,140.497,Normal,5_184
266.0,1323.0,1372.0,-983.0,2406.0,13237.0,140.99,Normal,5_184
336.0,1295.0,1361.0,-990.0,2392.0,13143.0,141.49,Normal,5_184
320.0,1325.0,1359.0,-335.0,2391.0,13192.0,141.982,Normal,5_184
311.0,1313.0,1369.0,-953.0,2396.0,13134.0,142.505,Normal,5_184
375.0,1301.0,1355.0,-1163.0,2393.0,13280.0,142.989,Normal,5_184
293.0,1305.0,1361.0,909.0,2382.0,13240.0,143.505,Normal,5_184
275.0,1315.0,1385.0,-69.0,2419.0,13259.0,144.002,Normal,5_184
257.0,1306.0,1373.0,672.0,2397.0,13364.0,144.483,Normal,5_184
317.0,1283.0,1376.0,1076.0,2398.0,13227.0,145.001,Normal,5_184
352.0,1288.0,1380.0,-834.0,2409.0,13151.0,145.488,Normal,5_184
356.0,1280.0,1341.0,118.0,2386.0,13377.0,146.036,Normal,5_184
297.0,1305.0,1380.0,355.0,2400.0,13188.0,146.49,Normal,5_184
400.0,1311.0,1370.0,-1133.0,2409.0,12992.0,146.993,Normal,5_184
317.0,1312.0,1356.0,-809.0,2392.0,13318.0,147.488,Normal,5_184
235.0,1297.0,1380.0,-715.0,2401.0,13240.0,147.996,Normal,5_184
330.0,1297.0,1379.0,1197.0,2400.0,13241.0,148.489,Normal,5_184
362.0,1305.0,1365.0,285.0,2403.0,13256.0,148.991,Normal,5_184
276.0,1280.0,1349.0,607.0,2389.0,13378.0,149.512,Normal,5_184
357.0,1313.0,1362.0,1162.0,2377.0,13179.0,149.987,Normal,5_184
358.0,1301.0,1363.0,1131.0,2400.0,13310.0,150.499,Normal,5_184
324.0,1328.0,1369.0,1300.0,2414.0,13334.0,150.993,Normal,5_184
333.0,1266.0,1375.0,-526.0,2405.0,13301.0,151.487,Normal,5_184
293.0,1307.0,1368.0,1048.0,2395.0,13188.0,151.984,Normal,5_184
338.0,1306.0,1360.0,531.0,2395.0,13225.0,152.499,Normal,5_184
389.0,1320.0,1385.0,-960.0,2415.0,13209.0,152.996,Normal,5_184
313.0,1327.0,1363.0,-643.0,2402.0,13368.0,153.483,Normal,5_184
272.0,1284.0,1327.0,-720.0,2379.0,13341.0,153.987,Normal,5_184
339.0,1282.0,1366.0,946.0,2398.0,13242.0,154.494,Normal,5_184
314.0,1315.0,1371.0,583.0,2397.0,13245.0,154.994,Normal,5_184
359.0,1297.0,1357.0,149.0,2384.0,13255.0,155.5,Normal,5_184
353.0,1295.0,1359.0,199.0,2406.0,13249.0,155.991,Normal,5_184
298.0,1298.0,1367.0,291.0,2403.0,13402.0,156.489,Normal,5_184
376.0,1282.0,1371.0,592.0,2403.0,13141.0,156.992,Normal,5_184
355.0,1310.0,1374.0,-491.0,2405.0,13133.0,157.482,Normal,5_184
403.0,1304.0,1354.0,664.0,2394.0,13242.0,157.998,Normal,5_184
225.0,1279.0,1361.0,375.0,2416.0,13184.0,158.489,Normal,5_184
364.0,1300.0,1349.0,247.0,2382.0,13240.0,158.986,Normal,5_184
286.0,1285.0,1373.0,29.0,2409.0,13296.0,159.525,Normal,5_184
326.0,1305.0,1367.0,-1016.0,2388.0,13157.0,159.988,Normal,5_184
333.0,1287.0,1369.0,-455.0,2385.0,13278.0,160.485,Normal,5_184
311.0,1309.0,1371.0,-1208.0,2392.0,13232.0,161.001,Normal,5_184
342.0,1299.0,1380.0,1215.0,2393.0,13433.0,161.489,Normal,5_184
384.0,1297.0,1368.0,-757.0,2401.0,13159.0,161.984,Normal,5_184
310.0,1310.0,1376.0,-408.0,2418.0,13221.0,162.5,Normal,5_184
376.0,1305.0,1356.0,-1101.0,2395.0,13357.0,162.99,Normal,5_184
326.0,1300.0,1371.0,-669.0,2390.0,13273.0,163.502,Normal,5_184
358.0,1320.0,1352.0,777.0,2407.0,13251.0,163.983,Normal,5_184
335.0,1321.0,1380.0,1294.0,2394.0,13260.0,164.493,Normal,5_184
356.0,1305.0,1351.0,-414.0,2406.0,13263.0,164.991,Normal,5_184
386.0,1294.0,1350.0,27.0,2390.0,13502.0,165.503,Normal,5_184
364.0,1305.0,1371.0,777.0,2411.0,13260.0,165.991,Normal,5_184
343.0,1288.0,1374.0,1231.0,2401.0,13334.0,166.491,Normal,5_184
361.0,1300.0,1388.0,-611.0,2424.0,13353.0,166.985,Normal,5_184
333.0,1287.0,1373.0,-1176.0,2380.0,13196.0,167.498,Normal,5_184
402.0,1314.0,1357.0,934.0,2401.0,13251.0,167.987,Normal,5_184
